epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,708.615,1.18988,1.50676,1.16511,0.698,0.63157,0.67753,0.40063,1.38145,1.38169,1.28533,0.00233554,0.000778513,0.00233554,0.000778513,0.00233554,0.000778513,0.00233554,0.000778513
31,731.485,1.24837,1.5349,1.18694,0.70544,0.631,0.66382,0.38564,1.39667,1.38399,1.29028,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013
32,754.849,1.22009,1.51712,1.16545,0.71315,0.6375,0.68031,0.39789,1.39154,1.36691,1.27988,0.00230854,0.000769514,0.00230854,0.000769514,0.00230854,0.000769514,0.00230854,0.000769514
33,779.313,1.23737,1.51712,1.16501,0.75605,0.61044,0.67484,0.40178,1.39188,1.39082,1.27594,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014
34,801.93,1.23741,1.49464,1.16922,0.75153,0.61826,0.68779,0.40152,1.38916,1.36216,1.27615,0.00228154,0.000760515,0.00228154,0.000760515,0.00228154,0.000760515,0.00228154,0.000760515
35,826.239,1.22076,1.45958,1.15286,0.75626,0.62953,0.69668,0.4104,1.3882,1.35717,1.28279,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015
36,850.236,1.21239,1.44776,1.15051,0.72627,0.62323,0.69969,0.41476,1.38879,1.33586,1.26986,0.00225455,0.000751516,0.00225455,0.000751516,0.00225455,0.000751516,0.00225455,0.000751516
37,878.05,1.18998,1.39302,1.14472,0.76037,0.61111,0.70199,0.41189,1.36955,1.31834,1.2654,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016
38,901.395,1.21351,1.38284,1.15187,0.72874,0.64302,0.70315,0.41598,1.36923,1.31487,1.26802,0.00222755,0.000742517,0.00222755,0.000742517,0.00222755,0.000742517,0.00222755,0.000742517
39,925.494,1.17002,1.44082,1.13202,0.71177,0.65113,0.70593,0.41369,1.38469,1.31317,1.27221,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017
